en,ru,level,source,source_url
goodbye,до свидания,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
thanks,спасибо,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
hello,здравствуйте,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
man,мужчина,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
woman,женщина,A1,WikDict,https://en.wiktionary.org/wiki/woman
boy,мальчик,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
girl,девочка,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
child,ребёнок,A1,WikDict,https://en.wiktionary.org/wiki/child
baby,младенец,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
person,человек,A1,WikDict,https://en.wiktionary.org/wiki/person
people,люди,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
mother,мать,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
mom,мама,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
father,отец,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
dad,папа,A1,WikDict,https://en.wiktionary.org/wiki/dad
brother,брат,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
sister,сестра,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
son,сын,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
daughter,дочь,A1,WikDict,https://en.wiktionary.org/wiki/daughter
husband,муж,A1,WikDict,https://en.wiktionary.org/wiki/husband
wife,жена,A1,WikDict,https://en.wiktionary.org/wiki/wife
family,семья,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
friend,друг,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
grandmother,бабушка,A1,WikDict,https://en.wiktionary.org/wiki/grandmother
grandfather,дедушка,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
grandparent,бабушка или дедушка,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
aunt,тётя,A1,WikDict,https://en.wiktionary.org/wiki/aunt
uncle,дядя,A1,WikDict,https://en.wiktionary.org/wiki/uncle
cousin,двоюродный брат или сестра,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
partner,партнёр,A1,WikDict,https://en.wiktionary.org/wiki/partner
boyfriend,парень (партнёр),A1,Vocoby,https://vocabden.com/en/english-a1-word-list
girlfriend,девушка (партнёр),A1,Vocoby,https://vocabden.com/en/english-a1-word-list
adult,взрослый,A1,WikDict,https://en.wiktionary.org/wiki/adult
teenager,подросток,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
red,красный,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
blue,синий,A1,WikDict,https://en.wiktionary.org/wiki/blue
green,зелёный,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
white,белый,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
black,чёрный,A1,WikDict,https://en.wiktionary.org/wiki/black
yellow,жёлтый,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
orange,апельсин,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
brown,коричневый,A1,WikDict,https://en.wiktionary.org/wiki/brown
