en,ru,level,source
ability,способность,A2,User-provided list: a2-user.md
able,способный,A2,User-provided list: a2-user.md
about,"о, около",A2,User-provided list: a2-user.md
above,выше,A2,User-provided list: a2-user.md
accept,принимать,A2,User-provided list: a2-user.md
accident,несчастный случай,A2,User-provided list: a2-user.md
account,"счёт, аккаунт",A2,User-provided list: a2-user.md
across,"через, напротив",A2,User-provided list: a2-user.md
act,действовать,A2,User-provided list: a2-user.md
action,действие,A2,User-provided list: a2-user.md
active,активный,A2,User-provided list: a2-user.md
activity,"деятельность, занятие",A2,User-provided list: a2-user.md
address,адрес,A2,User-provided list: a2-user.md
adult,взрослый,A2,User-provided list: a2-user.md
advice,совет,A2,User-provided list: a2-user.md
afraid,испуганный,A2,User-provided list: a2-user.md
after,после,A2,User-provided list: a2-user.md
afternoon,день,A2,User-provided list: a2-user.md
again,снова,A2,User-provided list: a2-user.md
against,против,A2,User-provided list: a2-user.md
age,возраст,A2,User-provided list: a2-user.md
ago,назад,A2,User-provided list: a2-user.md
agree,соглашаться,A2,User-provided list: a2-user.md
air,воздух,A2,User-provided list: a2-user.md
airport,аэропорт,A2,User-provided list: a2-user.md
alive,живой,A2,User-provided list: a2-user.md
all,"весь, всё",A2,User-provided list: a2-user.md
allow,разрешать,A2,User-provided list: a2-user.md
almost,почти,A2,User-provided list: a2-user.md
alone,"один, в одиночестве",A2,User-provided list: a2-user.md
along,вдоль,A2,User-provided list: a2-user.md
already,уже,A2,User-provided list: a2-user.md
also,также,A2,User-provided list: a2-user.md
although,хотя,A2,User-provided list: a2-user.md
always,всегда,A2,User-provided list: a2-user.md
amazing,удивительный,A2,User-provided list: a2-user.md
ambulance,скорая помощь,A2,User-provided list: a2-user.md
amount,количество,A2,User-provided list: a2-user.md
angry,злой,A2,User-provided list: a2-user.md
animal,животное,A2,User-provided list: a2-user.md
another,другой,A2,User-provided list: a2-user.md
answer,"ответ, отвечать",A2,User-provided list: a2-user.md
apartment,квартира,A2,User-provided list: a2-user.md
appear,появляться,A2,User-provided list: a2-user.md
apple,яблоко,A2,User-provided list: a2-user.md
area,"район, область",A2,User-provided list: a2-user.md
arm,рука,A2,User-provided list: a2-user.md
around,"вокруг, примерно",A2,User-provided list: a2-user.md
arrive,прибывать,A2,User-provided list: a2-user.md
art,искусство,A2,User-provided list: a2-user.md
article,статья,A2,User-provided list: a2-user.md
artist,художник,A2,User-provided list: a2-user.md
ask,спрашивать,A2,User-provided list: a2-user.md
aunt,тётя,A2,User-provided list: a2-user.md
autumn,осень,A2,User-provided list: a2-user.md
available,доступный,A2,User-provided list: a2-user.md
away,"прочь, далеко",A2,User-provided list: a2-user.md
baby,младенец,A2,User-provided list: a2-user.md
back,"спина, назад, обратно",A2,User-provided list: a2-user.md
bad,плохой,A2,User-provided list: a2-user.md
bag,сумка,A2,User-provided list: a2-user.md
bakery,пекарня,A2,User-provided list: a2-user.md
balcony,балкон,A2,User-provided list: a2-user.md
banana,банан,A2,User-provided list: a2-user.md
band,группа,A2,User-provided list: a2-user.md
bank,банк,A2,User-provided list: a2-user.md
bathroom,ванная комната,A2,User-provided list: a2-user.md
beach,пляж,A2,User-provided list: a2-user.md
beautiful,красивый,A2,User-provided list: a2-user.md
because,потому что,A2,User-provided list: a2-user.md
become,становиться,A2,User-provided list: a2-user.md
bed,кровать,A2,User-provided list: a2-user.md
bedroom,спальня,A2,User-provided list: a2-user.md
before,"до, перед",A2,User-provided list: a2-user.md
begin,начинать,A2,User-provided list: a2-user.md
behind,позади,A2,User-provided list: a2-user.md
believe,верить,A2,User-provided list: a2-user.md
below,ниже,A2,User-provided list: a2-user.md
best,лучший,A2,User-provided list: a2-user.md
better,лучше,A2,User-provided list: a2-user.md
between,между,A2,User-provided list: a2-user.md
bicycle,велосипед,A2,User-provided list: a2-user.md
big,большой,A2,User-provided list: a2-user.md
bill,счёт,A2,User-provided list: a2-user.md
bird,птица,A2,User-provided list: a2-user.md
birthday,день рождения,A2,User-provided list: a2-user.md
black,чёрный,A2,User-provided list: a2-user.md
block,"квартал, блок",A2,User-provided list: a2-user.md
blood,кровь,A2,User-provided list: a2-user.md
blue,синий,A2,User-provided list: a2-user.md
boat,лодка,A2,User-provided list: a2-user.md
body,тело,A2,User-provided list: a2-user.md
book,"книга, бронировать",A2,User-provided list: a2-user.md
bored,скучающий,A2,User-provided list: a2-user.md
boring,скучный,A2,User-provided list: a2-user.md
both,оба,A2,User-provided list: a2-user.md
bottle,бутылка,A2,User-provided list: a2-user.md
box,коробка,A2,User-provided list: a2-user.md
boy,мальчик,A2,User-provided list: a2-user.md
bread,хлеб,A2,User-provided list: a2-user.md
break,"перерыв, ломать",A2,User-provided list: a2-user.md
breakfast,завтрак,A2,User-provided list: a2-user.md
bring,приносить,A2,User-provided list: a2-user.md
brother,брат,A2,User-provided list: a2-user.md
brown,коричневый,A2,User-provided list: a2-user.md
build,строить,A2,User-provided list: a2-user.md
building,здание,A2,User-provided list: a2-user.md
bus,автобус,A2,User-provided list: a2-user.md
business,бизнес,A2,User-provided list: a2-user.md
busy,занятый,A2,User-provided list: a2-user.md
buy,покупать,A2,User-provided list: a2-user.md
cafe,кафе,A2,User-provided list: a2-user.md
cake,торт,A2,User-provided list: a2-user.md
call,"звонить, вызов",A2,User-provided list: a2-user.md
camera,камера,A2,User-provided list: a2-user.md
can,мочь,A2,User-provided list: a2-user.md
capital,столица,A2,User-provided list: a2-user.md
car,автомобиль,A2,User-provided list: a2-user.md
card,"карта, открытка",A2,User-provided list: a2-user.md
care,заботиться,A2,User-provided list: a2-user.md
careful,осторожный,A2,User-provided list: a2-user.md
carry,нести,A2,User-provided list: a2-user.md
case,"случай, дело",A2,User-provided list: a2-user.md
