en,ru,level
apple,яблоко,A1
animal,животное,A1
answer,ответ,A1
baby,младенец,A1
bag,сумка,A1
bed,кровать,A1
bird,птица,A1
book,книга,A1
bread,хлеб,A1
brother,брат,A1
car,автомобиль,A1
cat,кот,A1
chair,стул,A1
city,город,A1
cold,холодный,A1
day,день,A1
dog,собака,A1
door,дверь,A1
drink,пить,A1
eat,есть,A1
egg,яйцо,A1
evening,вечер,A1
family,семья,A1
father,отец,A1
fish,рыба,A1
flower,цветок,A1
food,еда,A1
friend,друг,A1
garden,сад,A1
girl,девочка,A1
good,хороший,A1
green,зелёный,A1
hand,рука,A1
happy,счастливый,A1
help,помогать,A1
home,дом,A1
horse,лошадь,A1
house,дом,A1
ice,лёд,A1
job,работа,A1
key,ключ,A1
kitchen,кухня,A1
language,язык,A1
learn,учить,A1
letter,письмо,A1
light,свет,A1
little,маленький,A1
milk,молоко,A1
money,деньги,A1
morning,утро,A1
mother,мать,A1
name,имя,A1
new,новый,A1
night,ночь,A1
old,старый,A1
orange,апельсин,A1
paper,бумага,A1
park,парк,A1
pen,ручка,A1
people,люди,A1
picture,картина,A1
play,играть,A1
question,вопрос,A1
rain,дождь,A1
read,читать,A1
red,красный,A1
room,комната,A1
school,школа,A1
sister,сестра,A1
sleep,спать,A1
small,маленький,A1
snow,снег,A1
son,сын,A1
street,улица,A1
sun,солнце,A1
table,стол,A1
teacher,учитель,A1
time,время,A1
train,поезд,A1
tree,дерево,A1
under,под,A1
understand,понимать,A1
visit,посещать,A1
water,вода,A1
white,белый,A1
window,окно,A1
write,писать,A1
year,год,A1
yellow,жёлтый,A1
young,молодой,A1
advice,совет,A2
airport,аэропорт,A2
believe,верить,A2
borrow,брать взаймы,A2
bridge,мост,A2
careful,осторожный,A2
choose,выбирать,A2
comfortable,удобный,A2
decide,решать,A2
describe,описывать,A2
earth,земля,A2
empty,пустой,A2
explain,объяснять,A2
famous,знаменитый,A2
forget,забывать,A2
healthy,здоровый,A2
improve,улучшать,A2
journey,путешествие,A2
knowledge,знание,A2
lonely,одинокий,A2
message,сообщение,A2
neighbour,сосед,A2
opinion,мнение,A2
polite,вежливый,A2
promise,обещание,A2
quiet,тихий,A2
remember,помнить,A2
return,возвращаться,A2
save,сохранять,A2
travel,путешествовать,A2
achieve,достигать,B1
advantage,преимущество,B1
behaviour,поведение,B1
challenge,сложная задача,B1
confidence,уверенность,B1
develop,развивать,B1
effort,усилие,B1
environment,окружающая среда,B1
evidence,доказательство,B1
experience,опыт,B1
failure,неудача,B1
freedom,свобода,B1
generous,щедрый,B1
habit,привычка,B1
increase,увеличивать,B1
influence,влияние,B1
justice,справедливость,B1
likely,вероятный,B1
manage,справляться,B1
notice,замечать,B1
opportunity,возможность,B1
purpose,цель,B1
require,требовать,B1
research,исследование,B1
responsibility,ответственность,B1
support,поддержка,B1
thought,мысль,B1
unless,если не,B1
valuable,ценный,B1
waste,тратить впустую,B1
